NCTId,BriefTitle,OverallStatus,Phase,Conditions,Interventions,StudyType,StartDate,PrimaryCompletionDate,Enrollment
NCT05231642,Individualised Postprandial Glucose Responses in Type 1 Diabetes,COMPLETED,NA,Type 1 Diabetes; Diabetes Complications; Postprandial Hyperglycemia,OTHER: Nutritional Interventional,INTERVENTIONAL,2021-11-30,2022-12-10,
NCT01206712,Beta Cell Relieving and Cardiovascular Protective Effects of LANTUS Treatment in Type 2 Diabetes Patients,COMPLETED,,"Diabetes Mellitus, Type 2",,OBSERVATIONAL,2009-11,2010-07,
NCT00743301,"The Effect of Palm Olein, Olive Oil and Lard and on Risk Markers of Cardiovascular Disease",UNKNOWN,NA,Cardiovascular Disease; Metabolic Syndrome,OTHER: Palm olein vs olive oil and lard,INTERVENTIONAL,2008-08,2009-02,
NCT04375046,Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP Could be Promising Treatment for COVID-19 Infection- and Its Inflammatory Complications Better Than Recombinant Human ACE2,UNKNOWN,PHASE1,COVID-19,DRUG: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2),INTERVENTIONAL,2021-07,2021-08,
NCT03039205,Platelet Aggregation in Patients With Coronary Artery Disease and Kidney Dysfunction Taking Clopidogrel or Ticagrelor,COMPLETED,PHASE2,Platelet Aggregation; Adenosine; Coronary Artery Disease; Kidney Dysfunction; Antiplatelet Therapy,DRUG: Clopidogrel; DRUG: Ticagrelor,INTERVENTIONAL,2017-11-07,2019-12-19,
NCT01591096,Thrombolysis in Pediatric Stroke (TIPS),TERMINATED,PHASE1,Stroke,DRUG: Tissue plasminogen activator (Activase®),INTERVENTIONAL,2012-10,2013-12,
NCT06247202,Effect of Smart Phone Health Education on Overweight and Obese Schoolchildren's Dietary Habits and Body Composition,COMPLETED,NA,Childhood Obesity,OTHER: Smart Phone Education (mhealth); OTHER: Paper Education (conventional),INTERVENTIONAL,2023-12-01,2024-03-10,
NCT04311073,Prophylactic Tranexamic Acid During Minimally Invasive Myomectomies,UNKNOWN,PHASE3,Fibroid Uterus; Abnormal Uterine Bleeding; Myoma;Uterus,DRUG: Tranexamic Acid; DRUG: Placebos,INTERVENTIONAL,2020-06-20,2024-07-30,
NCT01644994,Intracavitary Cisplatin-Fibrin Localized Chemotherapy After P/D or EPP for Malignant Pleural Mesothelioma,COMPLETED,"PHASE1, PHASE2",Malignant Pleural Mesothelioma,COMBINATION_PRODUCT: intracavitary cisplatin-fibrin,INTERVENTIONAL,2012-11,2019-12,
NCT01813929,Effect of Metformin on Vascular and Mitochondrial Function in Type 1 Diabetes,COMPLETED,PHASE4,Type 1 Diabetes,DRUG: Metformin; DRUG: Placebo,INTERVENTIONAL,2011-06,2017-03-24,
NCT00328627,Efficacy and Safety of Alogliptin Combined With Pioglitazone in Treating Subjects With Type 2 Diabetes Mellitus.,COMPLETED,PHASE3,Type 2 Diabetes Mellitus,DRUG: Alogliptin; DRUG: Alogliptin placebo; DRUG: Pioglitazone; DRUG: Pioglitazone placebo,INTERVENTIONAL,2006-05,2008-03,
NCT00558883,AI(I)DA Acarbose and the Subclinical Inflammation,COMPLETED,PHASE3,Type 2 Diabetes Mellitus; Subclinical Inflammation,DRUG: acarbose,INTERVENTIONAL,2005-01,,
NCT01883466,Health Effects of Biodiesel Exhaust Exposure,COMPLETED,NA,Vascular Endothelium,OTHER: Forearm venous occlusion plethysmography study,INTERVENTIONAL,2012-09,2013-01,
NCT01723930,Transpulmonary Gradient After Cardiac Surgery Under Cardiopulmonary Bypass,UNKNOWN,,Acute Respiratory Distress Syndrome After Cardiac Surgery Under Cardiopulmonary Bypass,,OBSERVATIONAL,,,
NCT01140542,"Efficacy of 500µg Roflumilast Once Daily Versus Placebo Over 12 Weeks in Patients With Diabetes Mellitus Type 2. A Double Blind, Parallel Group, Proof of Concept Clinical Study",COMPLETED,PHASE2,Diabetes Mellitus Type 2,DRUG: Roflumilast,INTERVENTIONAL,2006-08,2007-11,
NCT01489202,Effects of DES Platforms on Markers of Endothelial Damage and Inflammation,UNKNOWN,PHASE4,Coronary Artery Disease,DEVICE: platinum chromium everolimus-eluting stent; DEVICE: cobalt chromium everolimus-eluting stent,INTERVENTIONAL,2014-09,2015-12,
NCT00642434,Comparison of Blood Pressure Medications on Metabolism,COMPLETED,PHASE4,Diabetes,DRUG: carvedilol; DRUG: metoprolol,INTERVENTIONAL,2004-01,2008-06,
NCT02239744,Intervention Study on the Health Impact of Air Filters in Chinese Adults,COMPLETED,NA,Inflammation; Coagulation; Blood Pressure; Pulmonary Function,BEHAVIORAL: Air purifiers,INTERVENTIONAL,2014-09,2014-11,
NCT01596309,Cocoa Extract-enriched Meals and Cardiovascular Risk in Older Population,COMPLETED,NA,Cardiovascular Risk Factors,DIETARY_SUPPLEMENT: Cocoa extract,INTERVENTIONAL,2012-01,2012-07,
NCT03611582,Research Study to Look at How Well Semaglutide is at Lowering Weight When Taken Together With an Intensive Lifestyle Program,COMPLETED,PHASE3,Overweight; Obesity,DRUG: Semaglutide; DRUG: Placebo (semaglutide),INTERVENTIONAL,2018-08-01,2020-03-18,
NCT05417191,Effect of Differently Fed Farmed Gilthead Sea Bream Consumption,COMPLETED,NA,Cardiometabolic Health,BEHAVIORAL: Conventional fish; BEHAVIORAL: Enriched fish,INTERVENTIONAL,2012-12-01,2013-11-30,
NCT00816218,Molecular Mechanisms of Type 2 Diabetes Mellitus,COMPLETED,PHASE4,Type 2 Diabetes Mellitus,DRUG: Pioglitazone,INTERVENTIONAL,2003-03,2006-07,
NCT05192603,Comparison Between Low FODMAP and SSRD in IBS,ENROLLING_BY_INVITATION,NA,IBS - Irritable Bowel Syndrome,DIETARY_SUPPLEMENT: low FODMAP or SSRD,INTERVENTIONAL,2022-03-01,2024-02-13,
NCT07097974,Evaluation of the Efficacy of the Composite WM Formula in Body Weight Change,NOT_YET_RECRUITING,NA,Obesity,DIETARY_SUPPLEMENT: WM formula liquid drink; DIETARY_SUPPLEMENT: Placebo,INTERVENTIONAL,2025-08-31,2025-11-30,
NCT02768987,Bright 1 Bodies Weight Management Program,COMPLETED,NA,"Diabetes Mellitus, Type 1",BEHAVIORAL: Bright 1 Bodies,INTERVENTIONAL,2016-07,2017-10-31,
NCT00007410,Genetic Architecture of Plasma T-PA and PAI-1,COMPLETED,,Cardiovascular Diseases; Heart Diseases; Thrombosis; Atherosclerosis,,OBSERVATIONAL,2000-09,2006-07,
NCT00296153,Omacor and Cardiovascular Risk Factors in HIV Patients on HAART Treatment,COMPLETED,PHASE4,Human Immunodeficiency Virus; Ischemic Heart Disease,DRUG: Omega-3-acid ethyl esters 90,INTERVENTIONAL,2006-02,2006-11,
NCT03807570,Efficacy and Safety Morus Alba L. Extract on Improvement of Blood Flow,UNKNOWN,NA,Blood Flow,DIETARY_SUPPLEMENT: Morus Alba L. Extract; DIETARY_SUPPLEMENT: Placebo,INTERVENTIONAL,2018-11-12,2021-01-30,
NCT04915456,Effect of Postoperative Additive Systemic Steroids in CRSwNP,COMPLETED,PHASE4,"Sinusitis, Chronic",DRUG: Systemic Steroid (Prednisolone); OTHER: Placebo,INTERVENTIONAL,2005-01-18,2020-04,
NCT05137613,One and Two-visit Root Canal Retreatment,COMPLETED,NA,Root Canal Infection,OTHER: One visit root canal retreatment; OTHER: Two visit root canal retreatment,INTERVENTIONAL,2018-07-01,2021-05-01,
NCT01572818,Effects of Phlebotomy on Insulin Sensitivity in Insulin Resistance-associated Hepatic Iron Overload Patients,COMPLETED,NA,Insulin Resistance; Iron Overload,PROCEDURE: phlebotomy; BEHAVIORAL: dietary and lifestyle counseling,INTERVENTIONAL,2010-10,2015-10,
NCT07016451,Efficacy of Low-Intensity Shockwave Therapy in Treating Radiation Cystitis,ENROLLING_BY_INVITATION,EARLY_PHASE1,Radiation Cystitis,PROCEDURE: Li-ESWT; DRUG: Medication,INTERVENTIONAL,2024-04-02,2026-05-30,
NCT02187120,Pre-hospital Anti-fibrinolytics for Traumatic Coagulopathy and Haemorrhage (The PATCH Study),COMPLETED,PHASE3,Wounds and Injuries; Acute Coagulopathy,DRUG: Tranexamic Acid; DRUG: Placebo,INTERVENTIONAL,2014-07-28,2022-05-09,
NCT06880107,Genetic Variants of Annexin A2 and Cryptogenic Stroke,NOT_YET_RECRUITING,NA,Annexin A2; Stroke; Genetic Variants of Host; Fibrinolysis,BIOLOGICAL: blood withdrawal,INTERVENTIONAL,2025-07,2027-04,
NCT02182011,"A Study to Investigate the Procoagulant Effect of Tenecteplase (TNK-tPA), Alteplase (Rt-PA) and Streptokinase (SK) Administered to Patients With Acute Myocardial Infarction (AMI)",COMPLETED,PHASE3,Myocardial Infarction,DRUG: Tenecteplase; DRUG: Alteplase; DRUG: Streptokinase,INTERVENTIONAL,2000-05,2001-06,
NCT04528368,Convalescent Plasma for Treating Patients With COVID-19 Pneumonia Without Indication of Ventilatory Support,UNKNOWN,PHASE2,COVID-19,BIOLOGICAL: Convalescent plasma,INTERVENTIONAL,2020-12-11,2021-12-30,
NCT04382950,Combination of Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP and Isotretinoin Could be Promising Treatment for COVID-19 Infection- and Its Inflammatory Complications,UNKNOWN,PHASE1,COVID,COMBINATION_PRODUCT: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2) plus Aerosolized 13 cis retinoic acid,INTERVENTIONAL,2021-07,2021-08,
NCT00883584,IMD-1041 Chronic Obstructive Pulmonary Disease: Proof of Concept (POC) Study,UNKNOWN,PHASE2,Chronic Obstructive Pulmonary Disease,DRUG: IMD-1041; DRUG: Placebo,INTERVENTIONAL,2008-07,2009-05,
NCT03433833,Digoxin for Congenital Erythrocytosis Due to Up-Regulated Hypoxia Sensing,WITHDRAWN,PHASE1,Polycythemia; Familial; Erythrocytosis; Familial; VHL Gene Mutation; HIF-2alpha Erythrocytosis; PHD2 Erythrocytosis; Chuvash Erythrocytosis,DRUG: Digoxin,INTERVENTIONAL,2019-11-10,2024-04-16,
NCT02785965,Acupuncture in the Regulation of Dai Meridian for Polycystic Ovarian Syndrome Patients With Abdominal Obesity,UNKNOWN,NA,"Polycystic Ovarian Syndrome; Obesity, Abdominal",DEVICE: electroacupuncture; BEHAVIORAL: lifestyle modification,INTERVENTIONAL,2016-07,2019-01,
NCT02062216,Role of the Inflammatory Receptors in the Pathogenesis of Atherosclerosis,UNKNOWN,,Coronary Artery Disease,,OBSERVATIONAL,2015-02,2017-12,
NCT03236350,Remote Ischaemic Conditioning on Blood Pressure Control in Chronic Kidney Disease Patients,UNKNOWN,NA,Chronic Kidney Diseases; Hypertension; Cardiovascular Diseases,DEVICE: Active autoRIC® (CRIC Treatment); DEVICE: Sham Control autoRIC® (Sham Control),INTERVENTIONAL,2017-11-28,2020-03-31,
NCT04133220,Endothelial Activation Hemostasis Disturbances and Severe Bleeding Events in Hyperleukocytic Acute Myeloid Leukemia,UNKNOWN,,"Leukemia, Myeloid, Acute",,OBSERVATIONAL,2019-10,2022-02,
NCT04351048,Stepwise and One Step Techniques In Deep Dentin Lesion,UNKNOWN,NA,"Dental Caries, Dental Pulp Exposure",PROCEDURE: Stepwise Excavation; PROCEDURE: One Step Excavation,INTERVENTIONAL,2016-12-12,2018-03-02,
