Gene,Baseline,Knockout,Delta,Percent_Change
SULF1,0.105103925,0.10601701,-0.00091308355,-0.86873525
WFIKKN2,0.105103925,0.10601701,-0.00091308355,-0.86873525
PCSK5,0.105103925,0.106017016,-0.000913091,-0.86874235
PODNL1,0.105103925,0.106017016,-0.000913091,-0.86874235
PAPPA,0.105103925,0.106017016,-0.000913091,-0.86874235
ADAMTS2,0.105103925,0.106017016,-0.000913091,-0.86874235
REG4,0.105103925,0.106017016,-0.000913091,-0.86874235
EMILIN3,0.26110628,0.2620204,-0.00091412663,-0.35009617
ADAM17,0.13256523,0.13348505,-0.0009198189,-0.6938561
CXCL14,0.22095151,0.22187899,-0.0009274781,-0.41976354
CD109,0.23382574,0.23475683,-0.00093108416,-0.39819404
LPA,0.16585393,0.16678518,-0.00093124807,-0.5614835
PZP,0.31036052,0.3112962,-0.0009356737,-0.30147865
SERPINA10,0.29254487,0.29348513,-0.0009402633,-0.3214071
C1QC,0.3035644,0.30452296,-0.0009585619,-0.31576782
WISP2,0.41496107,0.41592047,-0.00095939636,-0.23120096
GDF5,0.14307803,0.14405528,-0.000977248,-0.6830127
MMP3,0.14307803,0.14405528,-0.000977248,-0.6830127
ITIH6,0.14307803,0.14405528,-0.000977248,-0.6830127
HTRA3,0.14307803,0.14405528,-0.000977248,-0.6830127
HYAL1,0.14307803,0.14405528,-0.000977248,-0.6830127
CPAMD8,0.14307803,0.14405528,-0.000977248,-0.6830127
GDF10,0.14307803,0.14405528,-0.000977248,-0.6830127
LEFTY2;LEFTY1,0.14307803,0.14405528,-0.000977248,-0.6830127
KAL1,0.14307803,0.14405528,-0.000977248,-0.6830127
INHBA,0.14307803,0.14405528,-0.000977248,-0.6830127
SCUBE3,0.14307801,0.14405528,-0.0009772629,-0.6830232
SMOC1,0.14307801,0.14405528,-0.0009772629,-0.6830232
ANGPTL4,0.14307801,0.14405528,-0.0009772629,-0.6830232
VEGFA,0.14307801,0.14405528,-0.0009772629,-0.6830232
SERPINA7,0.1212634,0.122247174,-0.0009837747,-0.8112642
MFAP4,0.35585904,0.35684857,-0.0009895265,-0.2780662
CTSF,0.11398394,0.11498387,-0.000999935,-0.87725186
SFRP4,0.11398395,0.11498389,-0.000999935,-0.87725174
MDK,0.11398394,0.11498388,-0.0009999424,-0.87725836
HMCN1,0.10482185,0.10583555,-0.0010136962,-0.9670565
ADAM9,0.19619697,0.19721782,-0.0010208488,-0.52031565
P3H1,0.19619697,0.19721782,-0.0010208488,-0.52031565
SPON1,0.30319926,0.30422476,-0.0010254979,-0.3382246
LAMA2,0.18908535,0.19011275,-0.0010274053,-0.5433524
C1QTNF5,0.12911308,0.13015378,-0.0010406971,-0.80602914
S100A6,0.23838751,0.23944628,-0.0010587722,-0.44413725
CCL16,0.21822058,0.21931696,-0.0010963827,-0.5024172
FSTL3,0.23277828,0.23388043,-0.0011021495,-0.47347406
C1QA,0.16147879,0.16259342,-0.0011146367,-0.69026387
CTSZ,0.26079974,0.26191682,-0.0011170805,-0.42832717
ANGPTL2,0.23270506,0.23382282,-0.0011177659,-0.4803338
P4HA2,0.19252813,0.19366373,-0.0011356026,-0.5898342
SERPINB6,0.270996,0.27214304,-0.0011470318,-0.4232636
NID1,0.260286,0.26144484,-0.0011588335,-0.44521374
PF4;PF4V1,0.09249568,0.09365916,-0.0011634827,-1.2578642
S100A12,0.16497329,0.166137,-0.0011637062,-0.7053864
C1QB,0.2874253,0.28870064,-0.0012753308,-0.44370705
CXCL10,0.11380378,0.1152532,-0.001449421,-1.273603
C1QTNF8,0.11380378,0.1152532,-0.001449421,-1.273603
GLDN,0.11380378,0.1152532,-0.001449421,-1.273603
COL27A1,0.11380378,0.1152532,-0.001449421,-1.273603
ADAMTS16,0.11380378,0.1152532,-0.001449421,-1.273603
ANXA8L2;ANXA8,0.11380378,0.1152532,-0.001449421,-1.273603
IGFBP4,0.11380378,0.11525322,-0.001449436,-1.2736161
IL17D,0.11380378,0.11525322,-0.001449436,-1.2736161
S100A7L2,0.11380378,0.115253225,-0.0014494434,-1.2736226
