Protein,Mean_Zscore_Delta,Std_Zscore_Delta,Consistency,N_Studies,N_Tissues,Temporal_Pattern,Matrisome_Division,Matrisome_Category
Plxnc1,-0.04112602717818975,0.0027009795934639616,0.9808612227845568,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
S100a10,-0.041437857063096,0.21095439155650034,-0.49149878212869647,6,6,Stable,Matrisome-associated,Secreted Factors
Klkb1,-0.042402043006857924,0.22929985529091568,-0.6102286908894476,4,4,Stable,Non-ECM,Non-ECM
COL8A1,-0.04241899405885193,0.8181496195641883,-4.744666467915814,6,6,Stable,Core matrisome,Collagens
Hyou1,-0.04292120977924099,0.060241200342986384,0.5785006267716586,4,4,Stable,Non-ECM,Non-ECM
Gpx7,-0.042931573186577365,0.14927601281477476,-0.044387950728812076,3,3,Stable,Non-ECM,Non-ECM
TIMP2,-0.04418391496097246,0.08238392239537384,0.4286191880857624,3,3,Stable,Matrisome-associated,ECM Regulators
SMOC2,-0.044480239963431104,0.17219748175429467,-0.1918410558971868,5,5,Stable,Core matrisome,ECM Glycoproteins
C1qa,-0.045138229914773544,0.3150804498558021,-1.1708990804202317,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
SERPINB12,-0.04525429625045479,0.5009937105816848,-2.449080154695364,3,3,Stable,Matrisome-associated,ECM Regulators
PAPLN,-0.04656262493122482,0.4682789770943987,-2.1950777172157006,7,3,Stable,Core matrisome,ECM Glycoproteins
PAMR1,-0.046667785527908096,0.1980818661288776,-0.35054787536276244,3,3,Stable,Matrisome-associated,ECM Regulators
Sema4d,-0.0471995821391065,0.041006006951872565,0.7214257924107347,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
GDF6,-0.04749830280771674,0.20922909114510746,-0.41851863487449625,3,3,Stable,Matrisome-associated,Secreted Factors
MFAP2,-0.04790476849141549,0.31215745328322336,-1.1105300151383641,4,4,Stable,Core matrisome,ECM Glycoproteins
FBN2,-0.04859887542057986,0.2641104665315498,-0.77733825901466,4,4,Stable,Core matrisome,ECM Glycoproteins
S100A10,-0.048906274071570055,0.6359001164257395,-3.270472284600322,6,6,Stable,Matrisome-associated,Secreted Factors
Plaa,-0.049941224667077996,0.1269534807753347,0.1533116989192541,4,4,Stable,Non-ECM,Non-ECM
Elfn1,-0.05045367474306965,0.0052211650593033355,0.9652971915227757,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
EDIL3,-0.050960107988062164,0.15071124700361543,0.0016485215052073343,3,3,Stable,Core matrisome,ECM Glycoproteins
Serpini1,-0.0513300590613578,0.04215819089839783,0.7214156185500165,2,2,Stable,Matrisome-associated,ECM Regulators
CCN6,-0.05206601377218022,0.29659188242508894,-0.95041531679414,2,2,Stable,Core matrisome,ECM Glycoproteins
Timp2,-0.052504176311031645,0.0048765435586949095,0.968023540884879,2,2,Stable,Matrisome-associated,ECM Regulators
Fgf1,-0.05321591840718498,0.15412919910441375,-0.005960742896189419,6,6,Stable,Matrisome-associated,Secreted Factors
MGP,-0.05336135752981025,0.6624218671434584,-3.3193531787477646,4,4,Stable,Core matrisome,ECM Glycoproteins
Colec12,-0.05392852023573415,0.09977756468836148,0.3517928676533958,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
Arhgdia,-0.05441735428205326,0.12366165324428888,0.1991725682696721,4,4,Stable,Non-ECM,Non-ECM
Vldlr,-0.05506605120284085,0.11772194155867127,0.24082711434574422,4,4,Stable,Non-ECM,Non-ECM
Plxdc1,-0.055375662471803554,0.04573803409255559,0.7056293542699726,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Entpd1,-0.055581591492183224,0.1506724864799729,0.031553251031353424,4,4,Stable,Non-ECM,Non-ECM
Iigp1,-0.05609754011886767,0.5697678770302474,-2.65007594992446,2,2,Stable,Non-ECM,Non-ECM
Mmp17,-0.0562843479906579,0.030537887891819458,0.8046004716118795,2,2,Stable,Matrisome-associated,ECM Regulators
Lama3,-0.0564340608693234,0.10578750536726428,0.3237565733486043,6,5,Stable,Core matrisome,ECM Glycoproteins
Chrdl1,-0.05648622605462768,0.15894366605152024,-0.01570387412905383,5,3,Stable,Matrisome-associated,Secreted Factors
Pcyox1,-0.056526681409984826,0.4241263869025152,-1.7096108029762407,3,3,Stable,Non-ECM,Non-ECM
Nell2,-0.05727923704948705,0.009159966943961437,0.9417598462721478,2,2,Stable,Core matrisome,ECM Glycoproteins
Creld1,-0.05744768256530662,0.08229203058663709,0.47733730185260903,4,4,Stable,Core matrisome,ECM Glycoproteins
Erap1,-0.058575013685855215,0.15776432962780865,0.005112306404416178,4,4,Stable,Non-ECM,Non-ECM
Scpep1,-0.05884106098441395,0.0566515871040564,0.6433441910236595,2,2,Stable,Non-ECM,Non-ECM
MBL2,-0.05929735442904294,0.32165841024641634,-1.0192325942845155,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
COL1A1,-0.05940191925367057,0.38948489646887813,-1.4434140962196058,8,8,Stable,Core matrisome,Collagens
Col1a1,-0.059684066908149425,0.4397444265023806,-1.7538403487388785,10,10,Stable,Core matrisome,Collagens
Plxna1,-0.059791710300014886,0.04557206972799565,0.7148032920954885,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
IGF2,-0.060079336822392554,0.04026853706162995,0.7484463775214927,2,2,Stable,Matrisome-associated,Secreted Factors
IGFBP7,-0.06067927335963357,0.48563691522404884,-2.0223992495727345,6,6,Stable,Core matrisome,ECM Glycoproteins
Efemp2,-0.061533287768850496,0.0320578579297096,0.8015402374798223,2,2,Stable,Core matrisome,ECM Glycoproteins
GPC4,-0.06158339248611884,0.1492053068320327,0.07660493732454299,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Sema4f,-0.061663645456298544,0.01342784630660347,0.9169396046420757,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Smc3,-0.06237250841493782,0.05335084603773541,0.6714293167079799,4,4,Stable,Non-ECM,Non-ECM
Prkaca,-0.06250208101655165,0.35214051449210054,-1.166990799682333,4,4,Stable,Non-ECM,Non-ECM
Hspa8,-0.06317609694283505,0.0949005843334978,0.4184161399157378,4,4,Stable,Non-ECM,Non-ECM
Adam22,-0.0641333973719202,0.011315456759581306,0.9310593886389806,2,2,Stable,Matrisome-associated,ECM Regulators
Anxa6,-0.06515602512342758,0.12634346994686954,0.23500538443905938,9,6,Stable,Matrisome-associated,ECM-affiliated Proteins
Serpina1e,-0.06527371063945211,0.7290181843387105,-3.410974870220456,8,8,Stable,Matrisome-associated,ECM Regulators
THBS4,-0.06547726530266973,0.3050220137068593,-0.8432865273000023,4,4,Stable,Core matrisome,ECM Glycoproteins
Igf2,-0.06561966040390814,0.056958218385024094,0.6560902356271221,3,3,Stable,Matrisome-associated,Secreted Factors
Lgi2,-0.06563269215075125,0.11853302363810128,0.28436215037658163,2,2,Stable,Core matrisome,ECM Glycoproteins
Ecm1,-0.06626705430977728,0.18362458006326882,-0.10439546081782503,8,8,Stable,Core matrisome,ECM Glycoproteins
Plxna4,-0.0663087849315957,0.018876673382968164,0.8864962341542432,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Hspd1,-0.06690810148408355,0.07691067248500567,0.5392034790334014,4,4,Stable,Non-ECM,Non-ECM
Ctsl,-0.06713035391521234,0.26020892573216126,-0.5569220051084736,9,9,Stable,Matrisome-associated,ECM Regulators
Bcan,-0.06733732997069095,0.01988590329744537,0.881162778795811,2,2,Stable,Core matrisome,Proteoglycans
LGALS1,-0.06786786178979513,0.6590052954470029,-2.9257383064318305,8,8,Stable,Matrisome-associated,ECM-affiliated Proteins
Sri,-0.06816922747632993,0.11343394340395604,0.325477406858386,4,4,Stable,Non-ECM,Non-ECM
Ccl21c,-0.06824693931227706,0.05506317574533337,0.6727240568511467,2,2,Stable,Matrisome-associated,Secreted Factors
Hcfc1,-0.06855385798189242,0.12533511552885251,0.25640909659678546,6,6,Stable,Matrisome-associated,Secreted Factors
Dcn,-0.0689222858644474,0.18610712092208287,-0.1017321957827726,10,10,Stable,Core matrisome,Proteoglycans
Pappa,-0.06907771471412245,0.018047448782570287,0.8932594469171469,2,2,Stable,Matrisome-associated,ECM Regulators
Ngly1,-0.06922043427862576,0.06772880571427524,0.5997598871377553,6,6,Stable,Matrisome-associated,ECM Regulators
Creld2,-0.06926867178344306,0.03242530887135442,0.8084388060134463,3,3,Stable,Core matrisome,ECM Glycoproteins
Sdc2,-0.0694464030634746,0.03526977042784577,0.7918529411649198,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Sema4a,-0.06967083024728704,0.002106718530080746,0.9875834960728942,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Mbl2,-0.0696732666800559,0.4586432657842449,-1.7030968092874925,6,6,Stable,Matrisome-associated,ECM-affiliated Proteins
P4htm,-0.07045310526538075,0.0679151706316607,0.6015609658391224,2,2,Stable,Matrisome-associated,ECM Regulators
Ltbp1,-0.07047235731183844,0.22593566414495453,-0.3253507354958387,6,6,Stable,Core matrisome,ECM Glycoproteins
Spock1,-0.07065043524405,0.04256501876407716,0.7505718710696271,2,2,Stable,Core matrisome,Proteoglycans
Hapln1,-0.07104890543588908,0.23625979344847603,-0.3812411885735725,3,3,Stable,Core matrisome,Proteoglycans
Tbc1d15,-0.07195823782992947,0.20045542849347162,-0.1657215788157036,3,3,Stable,Non-ECM,Non-ECM
Elfn2,-0.07313554716655996,0.00522632487157621,0.9698136809158643,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Sdc3,-0.07334197468780285,0.006414226696257906,0.9629966907449264,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
ANXA6,-0.07337344173423747,0.5864867178171753,-2.3827944577358933,8,8,Stable,Matrisome-associated,ECM-affiliated Proteins
Fga,-0.0734823590717257,0.1951804866185226,-0.12507397099566697,10,10,Stable,Core matrisome,ECM Glycoproteins
Spock2,-0.07361146355637875,0.013005920019252411,0.9250860527707673,2,2,Stable,Core matrisome,Proteoglycans
Fstl1,-0.07485238822889223,0.03096727850119441,0.8228947352972017,3,3,Stable,Matrisome-associated,Secreted Factors
Plxna2,-0.07521656207364995,0.040204979977086525,0.7705412119649574,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
FCN2,-0.0754987072813715,0.38195937224205523,-1.1764227107933727,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
LTBP3,-0.07593105762701348,0.3377490868476481,-0.9197809153384415,3,3,Stable,Core matrisome,ECM Glycoproteins
Lamp2,-0.0759407310642211,0.20600048993054576,-0.17085161965907947,4,4,Stable,Non-ECM,Non-ECM
Anxa3,-0.07594432923141455,0.1148513106855236,0.3472292560536979,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Adck1,-0.07638211419866607,0.25695708625862285,-0.4568205366287992,4,4,Stable,Non-ECM,Non-ECM
Cst3,-0.07728091958508464,0.2200810619153844,-0.2414255433154957,9,9,Stable,Matrisome-associated,ECM Regulators
Brinp2,-0.0777220646417144,0.0048200898350648485,0.9728784951672597,2,2,Stable,Matrisome-associated,Secreted Factors
Gbp2,-0.07820047855337309,0.1782460680817539,-0.00025583280556196186,4,4,Stable,Non-ECM,Non-ECM
FGL1,-0.0791347584661549,0.10593279701283999,0.4086418631431903,2,2,Stable,Core matrisome,ECM Glycoproteins
Lpl,-0.07923030410836006,0.11574398601241538,0.3542164279181369,4,4,Stable,Non-ECM,Non-ECM
Lman1,-0.07955798722231665,0.09973823804089135,0.4445346621233721,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Pon2,-0.07961975271916313,0.09840649567996274,0.45213990003748616,3,3,Stable,Non-ECM,Non-ECM
Hmcn2,-0.08012854947900963,0.4167766126814563,-1.3137732130021025,5,5,Stable,Core matrisome,ECM Glycoproteins
Cd47,-0.08043629651563905,0.12470307888893968,0.3088803012639354,2,2,Stable,Non-ECM,Non-ECM
ANGPTL5,-0.08083664715925713,0.2400197737509333,-0.3272739653238288,3,3,Stable,Matrisome-associated,Secreted Factors
C1qc,-0.08157330872994208,0.2802494835100577,-0.54345088201746,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Tgm2,-0.08158615364115437,0.2080860558597851,-0.14593569877028778,10,10,Stable,Matrisome-associated,ECM Regulators
Vwa5b2,-0.0815980907636556,0.06143190923204812,0.6617150049666554,2,2,Stable,Core matrisome,ECM Glycoproteins
Gpc5,-0.08179396716919879,0.01184344753478956,0.9348523621591542,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Nrg3,-0.08215260988230086,0.07977443391571538,0.5620461657548461,2,2,Stable,Matrisome-associated,Secreted Factors
Dspp,-0.0826863000449821,0.06611397212498295,0.638101094013596,4,4,Stable,Core matrisome,ECM Glycoproteins
Tnr,-0.0837285264397449,0.006461820702381383,0.9648295187056835,2,2,Stable,Core matrisome,ECM Glycoproteins
Nampt,-0.08565878871916598,0.14669326529344148,0.20987707446839543,4,4,Stable,Non-ECM,Non-ECM
BCAN,-0.08641446358761873,0.3716508431269875,-0.9936802969813752,3,3,Stable,Core matrisome,Proteoglycans
C1qtnf4,-0.08664673610237815,0.0428000143293812,0.7706897252898929,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Fgf2,-0.08681714936851737,0.20933633037946275,-0.12054129445324002,3,3,Stable,Matrisome-associated,Secreted Factors
Slit3,-0.0870360918548148,0.04354332199478271,0.7671929435491902,2,2,Stable,Core matrisome,ECM Glycoproteins
Cpb2,-0.08703940241768085,0.10925263533245036,0.4158843862830761,2,2,Stable,Non-ECM,Non-ECM
Cpe,-0.08816908806102174,0.1620933298169595,0.1385762056497083,3,3,Stable,Non-ECM,Non-ECM
Podn,-0.0900297749020446,0.02855552742871616,0.8497312989849313,3,3,Stable,Core matrisome,Proteoglycans
Car2,-0.09024188257118157,0.09838193142116622,0.48285871601194186,4,4,Stable,Non-ECM,Non-ECM
HSPG2,-0.09075654025186997,0.17520284660285912,0.08153688271172332,8,8,Stable,Core matrisome,Proteoglycans
Serpinb6b,-0.09102559966664735,0.032771870463256574,0.8284425201625033,2,2,Stable,Matrisome-associated,ECM Regulators
Hnrnpa2b1,-0.09142218569445996,0.14943585432326917,0.2193388985653293,4,4,Stable,Non-ECM,Non-ECM
Cd81,-0.09434831414397722,0.2544592869634935,-0.3092950565806545,3,3,Stable,Non-ECM,Non-ECM
Egln1,-0.09491260247231065,0.15797502252151055,0.189508423171598,4,4,Stable,Matrisome-associated,ECM Regulators
S100g,-0.0950010706159893,0.11848670603530595,0.3923792025294116,3,3,Stable,Matrisome-associated,Secreted Factors
Fbln2,-0.09575555645214666,0.20779154283263748,-0.061484775189168506,7,7,Stable,Core matrisome,ECM Glycoproteins
Megf9,-0.09624042611367975,0.045071550833873354,0.7703248422026767,2,2,Stable,Matrisome-associated,Secreted Factors
Sema3b,-0.09664547267262641,0.14794786215683922,0.2476416560927316,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
TGFBI,-0.09712594604797922,0.2305004251822381,-0.16930535935708702,10,8,Stable,Core matrisome,ECM Glycoproteins
Fbln1,-0.09746959695703306,0.12716167546084528,0.35604428519437303,8,8,Stable,Core matrisome,ECM Glycoproteins
IGFBP6,-0.09932665715568889,0.27357107006391146,-0.3724760850739206,2,2,Stable,Core matrisome,ECM Glycoproteins
LAMB4,-0.09978580871234846,0.2803163266432691,-0.40308427535445457,2,2,Stable,Core matrisome,ECM Glycoproteins
Anxa1,-0.09980327501913704,0.24280327685807157,-0.21521169677932472,10,10,Stable,Matrisome-associated,ECM-affiliated Proteins
Qsox1,-0.10080245818161429,0.030720536138817565,0.8470111550575112,2,2,Stable,Non-ECM,Non-ECM
Vwa5a,-0.100845167935787,0.18793852633214228,0.06426164859376227,6,6,Stable,Core matrisome,ECM Glycoproteins
FBN1,-0.10195928985589076,0.3924213903459441,-0.9430717479050292,10,8,Stable,Core matrisome,ECM Glycoproteins
Plod3,-0.10197764416604373,0.04944805373364931,0.7551805600178276,3,3,Stable,Matrisome-associated,ECM Regulators
Hsp90b1,-0.10232826683291915,0.19230875852526427,0.04952105044189847,4,4,Stable,Non-ECM,Non-ECM
MATN2,-0.10245008121132654,0.574909218157531,-1.839757903368855,9,7,Stable,Core matrisome,ECM Glycoproteins
Plxnd1,-0.10369477808367118,0.08707908035831505,0.5725021467042921,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
Anpep,-0.1039826095299488,0.15478254694371268,0.241197338830066,4,4,Stable,Non-ECM,Non-ECM
PLOD2,-0.10407963200602931,0.08038556564696434,0.6061068669283496,3,3,Stable,Matrisome-associated,ECM Regulators
Plxnb2,-0.10543440114765527,0.13058652123306896,0.3643395628796836,6,6,Stable,Matrisome-associated,ECM-affiliated Proteins
Cd163,-0.10572072323323695,0.2465262350972643,-0.19835391992941753,4,4,Stable,Non-ECM,Non-ECM
COL6A1,-0.10579852024084985,0.4147379952638206,-1.0152622806930047,9,9,Stable,Core matrisome,Collagens
VEGFA,-0.10623913736796428,0.7438039510154639,-2.606512132022722,2,2,Stable,Matrisome-associated,Secreted Factors
Tgm1,-0.10632911182155845,0.021566345851564105,0.8954759914334555,2,2,Stable,Matrisome-associated,ECM Regulators
Man2b1,-0.1066175653431942,0.10169995306821303,0.5077865093449909,3,3,Stable,Non-ECM,Non-ECM
Bdnf,-0.10731777056428746,0.02768073463662355,0.8664816114832761,2,2,Stable,Matrisome-associated,Secreted Factors
TGM2,-0.10744887936230975,0.16782762376942584,0.19099286395124526,7,7,Stable,Matrisome-associated,ECM Regulators
SDC1,-0.10801780693797208,0.5758004284875541,-1.7680343186160474,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Ptn,-0.10832824796272161,0.035160746650638966,0.8312242962993158,2,2,Stable,Matrisome-associated,Secreted Factors
LAMA5,-0.10840926181449184,0.27919863244961396,-0.33966518579261984,8,8,Stable,Core matrisome,ECM Glycoproteins
Anxa7,-0.10858801078068565,0.06300869806927499,0.6979275183005422,6,6,Stable,Matrisome-associated,ECM-affiliated Proteins
Anxa11,-0.10934395283625888,0.1040058762965999,0.5031818455346095,6,6,Stable,Matrisome-associated,ECM-affiliated Proteins
MMRN2,-0.10955719663493735,0.21108062081256188,-0.007269729706674832,6,6,Stable,Core matrisome,ECM Glycoproteins
Hnrnpm,-0.10976388209466809,0.10472870975483164,0.5007304941678818,4,4,Stable,Non-ECM,Non-ECM
F13a1,-0.11065898226188921,0.21254580083034455,-0.008956743966937353,9,9,Stable,Matrisome-associated,ECM Regulators
Dnajb11,-0.11066216806718696,0.0839722352689576,0.6013891054127187,4,4,Stable,Non-ECM,Non-ECM
Mmrn2,-0.11093507459275198,0.10205037238497147,0.5162000791855124,7,7,Stable,Core matrisome,ECM Glycoproteins
SERPINB6,-0.11178659055506883,0.6927088788717841,-2.270787244160606,5,5,Stable,Matrisome-associated,ECM Regulators
LTBP4,-0.11229399272914999,0.3739005029607101,-0.7612392049064796,6,6,Stable,Core matrisome,ECM Glycoproteins
C1ql3,-0.11258789032870606,0.06268900654008135,0.7051148753433188,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
THBS1,-0.11277261616617247,0.4013864435832915,-0.8864572463113121,5,5,Stable,Core matrisome,ECM Glycoproteins
Adamtsl4,-0.1127822879683673,0.07545803953474034,0.6453744329229221,2,2,Stable,Matrisome-associated,ECM Regulators
COL28A1,-0.1146388882790393,0.7248548117238147,-2.377089853267754,3,3,Stable,Core matrisome,Collagens
Chadl,-0.11533518823638281,0.10780753151262125,0.49935014153712665,2,2,Stable,Core matrisome,Proteoglycans
LOXL4,-0.1159330987546089,0.06266936885030308,0.7097741420294166,2,2,Stable,Matrisome-associated,ECM Regulators
Ehd2,-0.11707192214494949,0.03698999896455578,0.8295956538319325,4,4,Stable,Non-ECM,Non-ECM
Nid2,-0.11713774042993925,0.18304756099555963,0.15699794686487967,10,10,Stable,Core matrisome,ECM Glycoproteins
C1QA,-0.1174171882929,0.20940472909453658,0.03685292437674803,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Itgb4,-0.11767274934050174,0.3480507333153709,-0.5989632802906399,4,4,Stable,Non-ECM,Non-ECM
LAMA1,-0.1181522057790669,0.17307503852732276,0.2066317280211044,2,2,Stable,Core matrisome,ECM Glycoproteins
Lgals12,-0.11874254230235955,0.023312684496528718,0.893424094594711,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Mfap5,-0.11924546643454853,0.6138850772593862,-1.7999898344199043,3,3,Stable,Core matrisome,ECM Glycoproteins
Eng,-0.11944240179368804,0.1895100018311871,0.13640207962471318,2,2,Stable,Non-ECM,Non-ECM
Matn2,-0.12204752564099544,0.2705394520999892,-0.21838534934811693,5,5,Stable,Core matrisome,ECM Glycoproteins
CSTA,-0.12579785570194255,0.21726819545920928,0.03777564767485031,3,3,Stable,Matrisome-associated,ECM Regulators
EMILIN1,-0.1258040036203068,0.24594694034395498,-0.08920540114744302,8,8,Stable,Core matrisome,ECM Glycoproteins
Sparcl1,-0.12686607175354941,0.19625259434922648,0.1349407479386303,7,7,Stable,Core matrisome,ECM Glycoproteins
F13b,-0.1274783367934548,0.2248375089033943,0.011609140137411544,4,4,Stable,Matrisome-associated,ECM Regulators
Col5a1,-0.1276405469101776,0.48146010981246695,-1.115001551118402,7,7,Stable,Core matrisome,Collagens
LUM,-0.13042318426503624,0.46892223679078926,-1.035047984804462,8,8,Stable,Core matrisome,Proteoglycans
CHADL,-0.130614334346791,0.2629486762091166,-0.14020959258196908,3,3,Stable,Core matrisome,Proteoglycans
Fmod,-0.13137955064740983,0.2924688266910512,-0.2640219322438433,6,6,Stable,Core matrisome,Proteoglycans
Fbn1,-0.1323381002311389,0.2982738978428535,-0.28379244534632564,8,8,Stable,Core matrisome,ECM Glycoproteins
Loxl2,-0.133187045067201,0.3422921636896404,-0.46788670696091605,4,4,Stable,Matrisome-associated,ECM Regulators
Apoc1,-0.13334100329292395,0.7117313531259194,-2.0501769645365306,3,3,Stable,Non-ECM,Non-ECM
FBLN5,-0.1341880647517857,0.4599500984820796,-0.964020237195168,7,7,Stable,Core matrisome,ECM Glycoproteins
COL16A1,-0.13422573477741304,0.2290955142343885,0.02190289016661573,7,7,Stable,Core matrisome,Collagens
Ccdc134,-0.13465811493676805,0.5616674241248377,-1.3935563629503585,4,4,Stable,Non-ECM,Non-ECM
Lgals8,-0.1354048799510473,0.1331741262625585,0.43427627205412134,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
MMP13,-0.13636505964980156,0.4645290777875547,-0.9653034948388772,2,2,Stable,Matrisome-associated,ECM Regulators
MATN4,-0.1368106349372141,0.2972751322740908,-0.25532847100767975,3,3,Stable,Core matrisome,ECM Glycoproteins
B2m,-0.1375941108934341,0.252952466954842,-0.06464114789569209,4,4,Stable,Non-ECM,Non-ECM
Slit1,-0.13763596956199153,0.013158168240008615,0.9446288865096406,2,2,Stable,Core matrisome,ECM Glycoproteins
Pecam1,-0.1385846043865298,0.07261231288583381,0.695653820276706,4,4,Stable,Non-ECM,Non-ECM
Rpsa,-0.1406263667371957,0.15719781319010642,0.34671409737157866,4,4,Stable,Non-ECM,Non-ECM
Igfbp7,-0.1411200709965112,0.13836782813927767,0.4261455399899923,5,5,Stable,Core matrisome,ECM Glycoproteins
NID1,-0.1411687651239464,0.320404984676175,-0.3285509195666607,8,8,Stable,Core matrisome,ECM Glycoproteins
Slit2,-0.1419997368958876,0.11543483785962183,0.5229960191680545,2,2,Stable,Core matrisome,ECM Glycoproteins
Ahsg,-0.1425066639822143,0.15847403768302526,0.34651677161891137,4,4,Stable,Non-ECM,Non-ECM
CCL18,-0.14343041251542296,0.3874771336424051,-0.5917367498929733,3,3,Stable,Matrisome-associated,Secreted Factors
COL4A4,-0.1438536940642979,0.15581477481686917,0.36103172266980366,2,2,Stable,Core matrisome,Collagens
P4ha1,-0.14481574281060322,0.13204235824862792,0.46064596691079696,4,4,Stable,Matrisome-associated,ECM Regulators
LAMA4,-0.1450781770162956,0.24400060064641005,0.0043968679015182754,8,8,Stable,Core matrisome,ECM Glycoproteins
LGALS8,-0.14703107142145014,0.4414176635819633,-0.7868912644955408,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
Stx4a,-0.1474896570727944,0.11384673237194966,0.5399939790677241,4,4,Stable,Non-ECM,Non-ECM
LAMA2,-0.1478338002284711,0.27297605038463274,-0.10144802739974823,6,6,Stable,Core matrisome,ECM Glycoproteins
Emilin1,-0.1479362523957137,0.11554717258898267,0.5339641884859745,6,6,Stable,Core matrisome,ECM Glycoproteins
Aga,-0.14854123313318296,0.11378706925719455,0.5421803142168335,3,3,Stable,Non-ECM,Non-ECM
SBSPON,-0.15024060082850466,0.30725838385543863,-0.22785184673533276,4,4,Stable,Core matrisome,ECM Glycoproteins
S100A16,-0.15188232525836948,0.13538186395931417,0.4625193974192291,4,4,Stable,Matrisome-associated,Secreted Factors
Lama4,-0.15405418915463637,0.17324827078274788,0.31806567977001154,10,10,Stable,Core matrisome,ECM Glycoproteins
COL6A2,-0.15430161122764258,0.3110320686536461,-0.22308335819083824,8,8,Stable,Core matrisome,Collagens
SERPINA5,-0.1561965206973348,0.1783734572617557,0.30376315503330986,6,6,Stable,Matrisome-associated,ECM Regulators
Clec2l,-0.1570392194763949,0.12673051774582378,0.5069603852517844,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
CLEC18B,-0.15818715066735617,0.02475974130055384,0.9041015742396342,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Fn1,-0.15823022522173855,0.19035764638184915,0.2628374690902593,12,10,Stable,Core matrisome,ECM Glycoproteins
CHRD,-0.15864118685903442,0.17038097407093117,0.34124577705486314,3,3,Stable,Matrisome-associated,Secreted Factors
Dpep1,-0.1588046290490411,0.22997557996145696,0.11139309676768305,4,4,Stable,Non-ECM,Non-ECM
Lman2,-0.15975149791802667,0.07981808655775768,0.6927136621058217,4,4,Stable,Non-ECM,Non-ECM
COL8A2,-0.1598585305323249,0.022015352938066775,0.9152794680514512,2,2,Stable,Core matrisome,Collagens
Cspg4,-0.16006273955020517,0.15952158377053005,0.3866034632780051,5,5,Stable,Matrisome-associated,ECM-affiliated Proteins
Itgb1,-0.1603966493446499,0.12865337859837925,0.5059330489767588,4,4,Stable,Non-ECM,Non-ECM
Rab35,-0.16047460521572177,0.08841315644613702,0.6605689972236857,4,4,Stable,Non-ECM,Non-ECM
ASPN,-0.16071872356593267,0.2689199054856895,-0.031456052743687346,7,7,Stable,Core matrisome,Proteoglycans
Dlg1,-0.16179629791900502,0.096165764347269,0.6326695025419309,4,4,Stable,Non-ECM,Non-ECM
Hsp90ab1,-0.1619979678701156,0.15013211962021367,0.4269721981407084,4,4,Stable,Non-ECM,Non-ECM
Cd109,-0.16248874846004804,0.2723082238233514,-0.03740912866136781,2,2,Stable,Matrisome-associated,ECM Regulators
LOXL3,-0.16475832088285222,0.17083396412813648,0.3547550703657564,3,3,Stable,Matrisome-associated,ECM Regulators
Glg1,-0.1649073872603137,0.165293192597358,0.37603403851123596,4,4,Stable,Non-ECM,Non-ECM
Adipoq,-0.16606423838464235,0.0857936869283886,0.6775452144592283,6,6,Stable,Core matrisome,ECM Glycoproteins
C4b,-0.16706854691766057,0.5261804470508402,-0.9702074734134303,4,4,Stable,Non-ECM,Non-ECM
FGFBP2,-0.1680870853236082,0.14934172402785018,0.44293577645644655,3,3,Stable,Matrisome-associated,Secreted Factors
Mydgf,-0.16956858762246108,0.07618086884157088,0.717397084306186,4,4,Stable,Non-ECM,Non-ECM
ADAM15,-0.17046702418052917,0.31272883180709626,-0.15625493627037712,2,2,Stable,Matrisome-associated,ECM Regulators
PTN,-0.17059357445175224,0.4824875476355575,-0.7830709713381856,3,3,Stable,Matrisome-associated,Secreted Factors
